,Freq,ymove,zmove,xmove,k,L1,L2,R1,R2,sim_eff_max,sim_optimal_load,calc_eff_max,calc_optimal_load
52,6.78,-50,150,-100,0.0038703201140233,2.16716274972526,3.5680502940064,488.3073675,710.5821454,0.11884447437719028,0.9,0.11785495192250736,0.9004502963704568
53,6.78,-50,150,0,0.0110401042876288,2.16008643402834,3.47349336476214,489.5587586,610.7651509,0.44181728772688245,1.6,0.4381034783406084,1.5631765887508868
54,6.78,-50,150,50,0.0088159253547204,2.16208758470628,3.4257335444201,490.4314176,558.625401,0.37697102376979547,1.2000000000000002,0.37380379426264015,1.2255610756401973
55,6.78,-50,150,100,0.0039671715208943,2.15489685985759,3.37638609362812,489.2418939,508.6229921,0.15186983203732457,0.7000000000000001,0.15062037645451565,0.6890110881170496
56,6.78,0,150,-100,0.0051164950135745,2.15747327178822,3.59957767874221,489.6080792,709.4574399,0.1804908254929134,1.0,0.17898839866232533,1.0187944842971264
57,6.78,0,150,-50,0.010848249453716,2.16261845267517,3.54125463978956,489.3034466,659.6091868,0.42611877154329364,1.6,0.4225109849598677,1.6247950862549976
58,6.78,0,150,0,0.0136029226634916,2.16598228151511,3.4834690181746,488.1589864,610.4204195,0.5144940197603393,1.9000000000000001,0.5101227315587615,1.8817157085645784
59,6.78,0,150,50,0.0109828479945486,2.16989107290715,3.42996382339155,488.1955167,558.4111248,0.45458240880125694,1.5,0.45073942930363686,1.4749084127449426
60,6.78,0,150,100,0.0052655842400311,2.14905059732855,3.38224054288322,491.4934308,510.6304466,0.22292295628556158,0.8,0.22105247272078601,0.8004474597220887
61,6.78,50,150,-100,0.0039345820730992,2.16765280920379,3.61136110080718,489.1482477,709.9807047,0.12305799766977932,0.9,0.12203498732325757,0.9073518642492083
62,6.78,50,150,-50,0.0088392381142045,2.16038741674355,3.54825707770813,488.770365,659.2765247,0.35600850559487673,1.4000000000000001,0.3529987929360515,1.3786687449595612
63,6.78,50,150,0,0.011193446156196,2.15362936643791,3.50390855847181,490.3421244,609.73328,0.4476185350402177,1.6,0.443818131156859,1.5828347059656196
64,6.78,50,150,50,0.0089486848376884,2.16088395786235,3.44474949106134,489.683307,559.7597201,0.38280839281868245,1.2000000000000002,0.3796656735429664,1.2449436349343785
65,6.78,50,150,100,0.0040515549171864,2.15490337115442,3.38344896125772,491.0589912,511.3281959,0.15585921449587947,0.7000000000000001,0.1545665382551831,0.6982955510586644
66,6.78,100,150,-100,0.0012588062485444,2.1605952888175,3.60783540020954,489.09302,711.6879784,0.01571901764654354,0.7000000000000001,0.015601203675897296,0.7342462934775216
67,6.78,100,150,-50,0.0042334934171475,2.15927835665593,3.52435831540284,487.1337309,661.0338985,0.14277035501060778,0.9,0.1415975064769053,0.8791151655758846
68,6.78,100,150,0,0.0056410458315019,2.16568550018776,3.47553351061597,489.3417526,610.8127857,0.22253273956251315,1.0,0.22075901240841106,0.9568993737639103
69,6.78,100,150,50,0.0042745286378444,2.16657004957288,3.42542349660257,488.9037709,559.8512951,0.16026392989311397,0.8,0.15897911901426853,0.7715099297100609
70,6.78,100,150,100,0.0012914822267544,2.14506433262452,3.37585017798357,491.78822,509.9660483,0.021090406546171368,0.5,0.020943793691104027,0.5317842516600082
71,6.78,-100,200,-100,0.0006629820818946,2.14951116172663,3.53420290522249,491.1823104,709.462109,0.004344325929984909,0.7000000000000001,0.004309931097689,0.7156040459374289
72,6.78,-100,200,-50,0.0017539124814217,2.15485369918087,3.4863638196379,491.0412174,658.5385697,0.03072688952065679,0.7000000000000001,0.030477681372143524,0.6999419047505833
73,6.78,-100,200,0,0.002247196989667,2.16392138058407,3.41433989603994,490.5004473,611.9493663,0.05121300012121928,0.7000000000000001,0.05080914071112124,0.6774633167476736
74,6.78,-100,200,50,0.0017859127549604,2.15120636056912,3.35712364118192,490.7701144,559.1657764,0.03571823649931748,0.6000000000000001,0.03543050753573017,0.6002442625209914
75,6.78,-100,200,100,0.0006817619098538,2.15313796850071,3.31310857121456,491.1556964,508.2265593,0.006000569428390826,0.5,0.005954809085093035,0.5143156026559058
76,6.78,-50,200,-100,0.00172049520221,2.14784814905468,3.51455499798396,489.3150678,709.1587501,0.027820628160539925,0.8,0.027623387551805482,0.7494504780971294
77,6.78,-50,200,-50,0.0033637812098566,2.16864176925443,3.46331642273611,488.5728589,656.9859158,0.09859295932423899,0.8,0.09777705321795924,0.7993856343656708
78,6.78,-50,200,0,0.004120333724095,2.16211322810858,3.40832300915894,488.8750462,607.4804009,0.14220169745882663,0.8,0.14101959718705484,0.8069416252851241
79,6.78,-50,200,50,0.0034166932811329,2.15153060382948,3.37152838229964,491.8980737,558.2265615,0.11158151549074768,0.7000000000000001,0.11066098661483993,0.6971474929343804
80,6.78,-50,200,100,0.0017663462436866,2.14606079812226,3.31193223021848,491.3858697,509.1507667,0.03749797980199543,0.6000000000000001,0.03727118092702315,0.548573395313281
81,6.78,0,200,-50,0.0041042016100123,2.15526906477925,3.43814293459351,488.8234485,659.4533184,0.133320271603065,0.9,0.13227320052000233,0.8605027756037588
82,6.78,0,200,0,0.0049698263603375,2.15244210301297,3.39661829252533,490.3673483,606.3975466,0.18515153312400562,0.9,0.18362161459207726,0.879182075395992
83,6.78,0,200,50,0.0041510112216278,2.15959348531826,3.34335790092368,490.9813859,559.3460823,0.15001355127550312,0.8,0.14888544243166235,0.755038867002407
84,6.78,0,200,100,0.0022519963289705,2.1483200077182,3.28923346175928,492.3518919,510.2373033,0.05793003913603667,0.6000000000000001,0.057492356113743245,0.5724855936648043
85,6.78,50,200,-100,0.0017366691451316,2.16734498308827,3.5515774976638,489.0499018,709.4793219,0.028848859720392694,0.8,0.02864231353082287,0.7513199939090133
86,6.78,50,200,-50,0.0034241950400657,2.14959806131314,3.47439857795861,490.6044529,661.2856597,0.10016597986227195,0.8,0.09933813081254658,0.8071581199763606
87,6.78,50,200,0,0.0041808034173674,2.15156729095666,3.42327379537077,491.3257671,610.2247064,0.14425168414700745,0.8,0.14305962426059654,0.8139693768195542
88,6.78,50,200,50,0.0034632465416814,2.15110178590416,3.38143497695355,491.0976546,558.7010007,0.11434042179678426,0.7000000000000001,0.11339647429373477,0.7016165696704557
89,6.78,50,200,100,0.0017977278477095,2.15051217209074,3.3107996075426,489.6164103,508.764796,0.03896543755364829,0.6000000000000001,0.03872604601566358,0.5497571662174224
90,6.78,100,200,-100,0.0007088307393387,2.15711023259553,3.49827918450039,489.021941,706.7948352,0.004967312307144124,0.7000000000000001,0.004927860951462962,0.7137953058842824
91,6.78,100,200,-50,0.0018337283343618,2.15358598709479,3.44390841338647,486.8013966,658.7654227,0.03326263728268244,0.7000000000000001,0.03299284012360236,0.7037176074860497
92,6.78,100,200,0,0.0023432248015391,2.14945105866169,3.38707768653488,490.2657679,610.7120829,0.054621018819349665,0.7000000000000001,0.05418555935624533,0.6806872797156265
93,6.78,100,200,50,0.0018506386391301,2.17064262915272,3.33989741652336,489.5899735,560.1845168,0.03831859641196624,0.6000000000000001,0.0380102813832967,0.6044527053223309
94,6.78,100,200,100,0.0007276741894415,2.15013768512431,3.29598518508498,490.9002238,508.3372637,0.006782529987148696,0.5,0.006730902010936396,0.5152267729324918
