y,0,5,10,15,20,25,30,35,40,45
104,0.037409195,0.037344922,0.037148437,0.036808812,0.036308089,0.035621803,0.034719968,0.033568705,0.0321327,0.030378478
105,0.036729017,0.036665429,0.036471104,0.036135423,0.035640944,0.034963906,0.034075186,0.032941881,0.031529667,0.029805973
106,0.03606374,0.036000828,0.035808631,0.035476832,0.034988483,0.034320508,0.033444618,0.032328853,0.030939856,0.029245934
107,0.035412998,0.035350753,0.035160655,0.034832676,0.034350351,0.033691259,0.032827925,0.0317293,0.030362965,0.02869809
108,0.034776437,0.03471485,0.034526822,0.034202605,0.033726199,0.03307582,0.032224777,0.031142905,0.0297987,0.02816217
109,0.034153708,0.034092773,0.033906786,0.033586275,0.033115687,0.032473856,0.031634849,0.030569361,0.029246771,0.02763791
110,0.033544476,0.033484182,0.033300212,0.032983352,0.032518486,0.031885044,0.031057828,0.030008364,0.028706895,0.027125051
111,0.03294841,0.032888751,0.03270677,0.032393509,0.031934271,0.031309065,0.030493404,0.029459621,0.028178794,0.026623336
112,0.032365189,0.032306158,0.032126141,0.031816428,0.031362729,0.03074561,0.029941276,0.02892284,0.027662195,0.026132516
113,0.031794503,0.031736092,0.031558015,0.031251801,0.030803553,0.030194378,0.029401151,0.028397741,0.027156832,0.025652342
114,0.031236046,0.031178248,0.031002088,0.030699324,0.030256442,0.029655074,0.02887274,0.027884046,0.026662443,0.025182573
115,0.030689522,0.03063233,0.030458063,0.030158703,0.029721106,0.029127411,0.028355765,0.027381487,0.026178773,0.024722973
116,0.030154642,0.03009805,0.029925653,0.029629652,0.02919726,0.028611108,0.02784995,0.026889798,0.025705571,0.024273307
117,0.029631125,0.029575126,0.029404578,0.029111892,0.028684627,0.028105892,0.02735503,0.026408722,0.025242593,0.02383335
118,0.029118697,0.029063284,0.028894564,0.028605149,0.028182937,0.027611497,0.026870743,0.025938007,0.024789599,0.023402877
119,0.028617091,0.028562258,0.028395344,0.028109159,0.027691926,0.027127662,0.026396835,0.025477408,0.024346355,0.022981669
120,0.028126046,0.028071787,0.027906659,0.027623663,0.027211338,0.026654135,0.025933058,0.025026685,0.023912632,0.022569513
121,0.02764531,0.027591619,0.027428256,0.027148409,0.026740922,0.026190668,0.025479171,0.024585603,0.023488207,0.022166198
122,0.027174635,0.027121506,0.026959889,0.026683151,0.026280435,0.02573702,0.025034937,0.024153932,0.02307286,0.021771521
123,0.026713782,0.026661208,0.026501318,0.026227651,0.025829639,0.025292957,0.024600126,0.023731451,0.022666379,0.021385279
124,0.026262515,0.026210492,0.026052308,0.025781674,0.025388302,0.02485825,0.024174513,0.023317941,0.022268554,0.021007277
125,0.025820607,0.025769128,0.025612633,0.025344995,0.024956199,0.024432675,0.023757879,0.022913189,0.021879182,0.020637324
126,0.025387835,0.025336895,0.025182069,0.024917392,0.02453311,0.024016015,0.023350011,0.022516988,0.021498063,0.02027523
127,0.024963982,0.024913576,0.024760402,0.024498649,0.024118821,0.023608058,0.022950701,0.022129135,0.021125005,0.019920814
128,0.024548839,0.02449896,0.024347419,0.024088557,0.023713122,0.023208598,0.022559746,0.021749432,0.020759816,0.019573896
129,0.024142199,0.024092842,0.023942917,0.023686909,0.02331581,0.022817433,0.022176947,0.021377688,0.020402311,0.0192343
130,0.023743861,0.023695021,0.023546695,0.023293508,0.022926687,0.022434366,0.021802111,0.021013713,0.02005231,0.018901856
131,0.023353631,0.023305303,0.023158557,0.022908159,0.022545559,0.022059206,0.021435051,0.020657326,0.019709637,0.018576397
132,0.022971319,0.022923497,0.022778315,0.022530672,0.022172239,0.021691767,0.021075583,0.020308346,0.019374119,0.018257759
133,0.02259674,0.022549419,0.022405784,0.022160863,0.021806543,0.021331868,0.020723527,0.019966599,0.019045589,0.017945784
134,0.022229712,0.022182887,0.022040782,0.021798551,0.021448291,0.02097933,0.020378711,0.019631916,0.018723881,0.017640315
135,0.02187006,0.021823726,0.021683135,0.021443563,0.02109731,0.020633981,0.020040963,0.019304131,0.018408837,0.017341201
136,0.021517613,0.021471765,0.021332671,0.021095727,0.02075343,0.020295653,0.019710118,0.018983081,0.018100301,0.017048294
137,0.021172204,0.021126836,0.020989223,0.020754877,0.020416484,0.019964182,0.019386015,0.018668609,0.017798119,0.016761448
138,0.020833669,0.020788778,0.02065263,0.020420851,0.020086313,0.019639408,0.019068495,0.018360561,0.017502145,0.016480523
139,0.020501851,0.020457431,0.020322732,0.02009349,0.019762758,0.019321175,0.018757406,0.018058788,0.017212232,0.016205381
140,0.020176595,0.02013264,0.019999375,0.019772641,0.019445667,0.019009332,0.018452598,0.017763143,0.01692824,0.015935887
141,0.019857751,0.019814257,0.019682409,0.019458154,0.019134889,0.018703729,0.018153925,0.017473484,0.01665003,0.015671909
142,0.01954517,0.019502133,0.019371688,0.019149882,0.01883028,0.018404224,0.017861244,0.017189671,0.016377469,0.015413321
143,0.019238711,0.019196125,0.019067067,0.018847683,0.018531698,0.018110675,0.017574418,0.016911569,0.016110426,0.015159996
144,0.018938234,0.018896095,0.018768409,0.018551418,0.018239004,0.017822945,0.017293311,0.016639046,0.015848772,0.014911814
145,0.018643603,0.018601906,0.018475577,0.018260951,0.017952064,0.017540901,0.017017791,0.016371973,0.015592383,0.014668654
146,0.018354686,0.018313426,0.01818844,0.017976151,0.017670746,0.017264412,0.01674773,0.016110225,0.015341138,0.014430402
147,0.018071352,0.018030525,0.017906867,0.017696889,0.017394922,0.016993352,0.016483002,0.015853678,0.015094918,0.014196943
148,0.017793478,0.017753078,0.017630733,0.017423039,0.017124467,0.016727596,0.016223486,0.015602214,0.014853606,0.013968168
149,0.017520938,0.017480963,0.017359916,0.01715448,0.01685926,0.016467025,0.015969063,0.015355717,0.014617092,0.013743968
150,0.017253615,0.017214059,0.017094297,0.016891091,0.016599182,0.016211519,0.015719617,0.015114072,0.014385263,0.01352424
151,0.016991391,0.016952249,0.016833758,0.016632757,0.016344117,0.015960965,0.015475034,0.014877169,0.014158015,0.013308879
152,0.016734153,0.016695421,0.016578186,0.016379364,0.016093953,0.015715251,0.015235204,0.0146449,0.013935241,0.013097787
153,0.016481789,0.016443463,0.01632747,0.016130802,0.015848579,0.015474268,0.01500002,0.01441716,0.01371684,0.012890865
154,0.016234192,0.016196267,0.016081502,0.015886963,0.015607889,0.015237909,0.014769377,0.014193847,0.013502712,0.01268802
155,0.015991255,0.015953728,0.015840178,0.015647742,0.015371777,0.015006071,0.014543173,0.013974859,0.013292761,0.012489157
156,0.015752877,0.015715742,0.015603393,0.015413037,0.015140142,0.014778653,0.014321308,0.0137601,0.013086892,0.012294187
157,0.015518956,0.01548221,0.015371049,0.015182747,0.014912885,0.014555556,0.014103684,0.013549475,0.012885013,0.012103021
158,0.015289395,0.015253033,0.015143047,0.014956776,0.014689908,0.014336684,0.013890208,0.01334289,0.012687033,0.011915573
159,0.015064099,0.015028116,0.014919292,0.014735027,0.014471117,0.014121943,0.013680786,0.013140256,0.012492866,0.01173176
160,0.014842973,0.014807367,0.014699691,0.01451741,0.014256419,0.013911242,0.013475329,0.012941483,0.012302425,0.0115515
161,0.014625928,0.014590693,0.014484153,0.014303832,0.014045726,0.013704492,0.013273749,0.012746487,0.012115628,0.011374712
162,0.014412875,0.014378008,0.01427259,0.014094206,0.013838948,0.013501606,0.013075959,0.012555182,0.011932392,0.011201319
163,0.014203727,0.014169224,0.014064916,0.013888446,0.013636001,0.013302499,0.012881876,0.012367488,0.011752639,0.011031245
164,0.0139984,0.013964257,0.013861046,0.013686468,0.013436801,0.013107088,0.012691419,0.012183324,0.011576291,0.010864415
165,0.013796813,0.013763024,0.013660899,0.01348819,0.013241267,0.012915293,0.012504509,0.012002612,0.011403272,0.010700758
166,0.013598883,0.013565446,0.013464394,0.013293533,0.013049318,0.012727035,0.012321066,0.011825277,0.01123351,0.010540203
167,0.013404534,0.013371445,0.013271453,0.013102417,0.012860879,0.012542237,0.012141017,0.011651245,0.011066931,0.010382682
168,0.013213688,0.013180943,0.013082,0.012914768,0.012675872,0.012360823,0.011964287,0.011480442,0.010903467,0.010228126
169,0.013026272,0.012993866,0.01289596,0.012730511,0.012494224,0.012182722,0.011790803,0.011312799,0.010743049,0.010076472
170,0.012842211,0.012810142,0.012713261,0.012549573,0.012315864,0.012007862,0.011620496,0.011148247,0.010585609,0.009927654
171,0.012661436,0.0126297,0.012533831,0.012371885,0.012140721,0.011836172,0.011453297,0.010986719,0.010431083,0.009781611
172,0.012483877,0.01245247,0.012357602,0.012197376,0.011968725,0.011667586,0.011289139,0.010828148,0.010279408,0.009638281
